Longitude,Latitude
-123.140514,49.234426
-123.156488,49.234659
-123.173797,49.23482
-123.185966,49.234831
-123.237649,49.255122
-123.241873,49.262267
-123.243949,49.264762
-123.044085,49.313392
-123.046433,49.313426
-123.049318,49.313456
-123.052457,49.313495
-123.055178,49.313555
-123.060973,49.313621
-123.063643,49.313659
-123.067727,49.314552
-123.070797,49.31592
-123.072813,49.336578
-123.077605,49.336595
-123.07995,49.336616
-123.082772,49.336609
-123.087189,49.33662
-123.093395,49.336658
-123.096151,49.33667
-123.098293,49.336681
-123.100533,49.338241
-123.094911,49.352985
-123.03495,49.306096
-123.040349,49.308549
